,year,month,rating_standard,rating_rapid,rating_blitz,country
3,2018.0,6.6251887647236485,1801.7287703388565,1809.199685534591,1886.1037037037038,LUX
4,2019.0,6.7407407407407405,1773.812882937084,1768.1838017174082,1866.7133333333334,LUX
5,2020.0,6.506060606060606,1769.3262149799884,1752.3996062992126,1847.7839506172838,LUX
6,2021.0,2.5,1768.942610062893,1753.6771653543308,1848.6851851851852,LUX
0,2015.0,7.397321428571429,1865.0989141414143,1830.0522366522366,1948.154761904762,FID
1,2016.0,7.610215053763441,1743.9987376208267,1646.083529106395,1784.3411212121212,FID
2,2017.0,7.5235571260306235,1690.1065332091869,1600.4523451210953,1726.487671232877,FID
3,2018.0,6.929027113237639,1667.8111111111111,1559.808535071384,1655.8714929911357,FID
4,2019.0,6.864213197969543,1628.1616683362552,1538.6309623326865,1635.0959424756034,FID
5,2020.0,6.396352481121898,1624.596507907763,1532.1450686106346,1620.1113333333333,FID
6,2021.0,2.5060240963855422,1622.8833992094862,1530.5443925233644,1619.956,FID
0,2015.0,6.936778957083526,1812.7165150503702,1882.526511627907,1873.6161457491332,BEL
1,2016.0,6.880695443645084,1774.4276527459813,1816.582630718954,1866.3839805825244,BEL
2,2017.0,6.7559885591705395,1741.1506006796549,1786.8060075978444,1817.977083396697,BEL
3,2018.0,6.760262266096951,1713.3078390339872,1743.128249608106,1766.1342490795694,BEL
4,2019.0,6.7272346786248125,1688.5087337494547,1716.8610928242265,1725.8275195421554,BEL
5,2020.0,6.55134509690483,1679.5992158466222,1701.749526105208,1709.2458925328492,BEL
6,2021.0,2.5,1680.1795679567956,1701.6201298701299,1708.8418427230047,BEL
0,2015.0,6.5,2012.6666666666667,1955.1666666666667,1968.7777777777778,LIE
1,2016.0,6.615384615384615,1959.8055555555557,1955.0,1991.3333333333333,LIE
2,2017.0,6.5,1950.7692307692307,1954.25,1991.3333333333333,LIE
3,2018.0,6.5,1954.147435897436,1946.0,1992.0833333333333,LIE
4,2019.0,6.9,1860.45,1946.0,2006.4555555555555,LIE
5,2020.0,6.71875,1851.709375,1928.05,2001.4,LIE
6,2021.0,2.5,1862.125,1926.0,2001.4,LIE
0,2015.0,6.794192176130199,1706.2954400450365,1864.0096302279662,1862.4568672839507,FRA
1,2016.0,6.731640826475776,1668.236062106862,1792.73766880599,1816.0424105729662,FRA
2,2017.0,6.707542162150914,1635.7755257000429,1655.2376011365095,1795.269664902998,FRA
3,2018.0,6.748696671041677,1610.1967794264592,1552.8570392838508,1695.4942555343935,FRA
4,2019.0,6.769054855810927,1588.6201586753737,1506.224657024061,1645.4909356123428,FRA
5,2020.0,6.550832246788915,1581.3232516330631,1495.6921942950828,1629.8461308979417,FRA
6,2021.0,2.5007433102081267,1581.8740303646243,1496.0589854141822,1629.0447729220223,FRA
0,2015.0,6.833333333333333,1989.0597249166722,2105.524636192433,2044.7884136268856,NED
1,2016.0,6.743019943019943,1964.591190908669,2065.655651340996,2024.6860288534547,NED
2,2017.0,6.702094240837696,1942.1491295880394,2011.9335205799491,2006.562111695394,NED
3,2018.0,6.7040347910123215,1917.8316380577817,1988.7385465297232,1982.9894048288231,NED
4,2019.0,6.678377767736105,1897.5436418230981,1996.9124256923299,1971.2153139356817,NED
5,2020.0,6.529411764705882,1889.2258968297638,1989.3764030438917,1963.2016436688314,NED
6,2021.0,2.5,1889.2440049305244,1989.1121076233185,1963.1220238095239,NED
0,2015.0,6.753968253968254,1882.7912457912457,1908.5789855072464,2058.777777777778,MNC
1,2016.0,6.590909090909091,1851.035927456382,1896.0,2046.3703703703702,MNC
2,2017.0,6.645588235294118,1864.5787037037037,1831.953431372549,1952.372222222222,MNC
3,2018.0,6.756756756756757,1851.2483896940419,1799.4413738716066,1893.9502314814815,MNC
4,2019.0,6.51531100478469,1831.6629931101763,1756.6661347517731,1794.1305555555555,MNC
5,2020.0,6.512820512820513,1848.9345238095239,1738.1336805555557,1813.3638888888888,MNC
6,2021.0,2.5,1848.5285714285715,1736.8541666666667,1813.4666666666667,MNC
0,2015.0,7.2959509202453985,1597.9794728221125,1697.9694763782136,1661.6395685400848,TUR
1,2016.0,7.115556720261947,1536.8384828384978,1643.7101334809402,1589.7900268695382,TUR
2,2017.0,6.964964982684201,1493.1276871625362,1601.9059217594365,1544.1719646856263,TUR
3,2018.0,6.850961795246398,1460.0561992069809,1569.999392291801,1521.3800709322159,TUR
4,2019.0,6.807076326388316,1435.2703738733023,1540.4783121550506,1485.0533718623108,TUR
5,2020.0,6.524716281099956,1428.804068157995,1534.2454246204245,1477.5907772157384,TUR
6,2021.0,2.501471710454595,1428.6932728557965,1533.30791106515,1477.5969070562635,TUR
0,2015.0,6.730061196453104,1837.8374520407813,1832.3101451764037,1952.6568276684557,HUN
1,2016.0,6.655024340180865,1813.3279513416326,1802.6559084610722,1955.548439821694,HUN
2,2017.0,6.627653163709407,1792.8000493452778,1776.1128524093826,1936.7619305639173,HUN
3,2018.0,6.601383303844298,1777.606776934734,1735.3462818404068,1912.132784875468,HUN
4,2019.0,6.597881750465549,1765.6295320851927,1719.225404366506,1882.4535876050757,HUN
5,2020.0,6.544935736915649,1758.499889165779,1713.3065247201002,1861.8446156556622,HUN
6,2021.0,2.5002282410225196,1758.6163699690403,1713.5944637537239,1862.2095259391772,HUN
0,2015.0,6.733748003291543,1939.1967180382899,2041.472435681446,2040.3408365193995,GER
1,2016.0,6.68504693786321,1918.0826336102991,1989.9518586414094,2045.454141918724,GER
2,2017.0,6.688875367308777,1899.5674424496838,1959.436347086807,2018.49584569285,GER
3,2018.0,6.657796658060001,1882.0211624060212,1934.8018078764505,1992.436854350326,GER
4,2019.0,6.6618129254190155,1864.6015476783207,1900.7863617564126,1964.652863621757,GER
5,2020.0,6.53103312584961,1858.0560438487105,1890.4757029408222,1956.1791101698166,GER
6,2021.0,2.5,1857.877803807275,1890.711374609486,1956.1253797468355,GER
0,2015.0,6.878430739425251,1859.0949061418296,1863.0163842188613,1944.077018934519,CZE
1,2016.0,6.769949676491732,1831.6992919677361,1813.5214173752202,1895.7822717959943,CZE
2,2017.0,6.723883860247496,1804.576337393815,1775.7644007469091,1868.025968403333,CZE
3,2018.0,6.677942730052822,1784.7223290516279,1746.1068232816494,1837.0530908171706,CZE
4,2019.0,6.664826740900781,1765.0589332884392,1718.844038800908,1804.0343396272756,CZE
5,2020.0,6.5655476059438636,1755.2519568670255,1701.7163661319073,1791.2162227912931,CZE
6,2021.0,2.5002751183008693,1756.0144064659428,1701.724346905154,1790.916164053076,CZE
0,2015.0,6.848808689558514,1828.3064145510336,1799.991843802456,1892.4334645669292,SVK
1,2016.0,6.779031814746101,1791.00499399211,1748.0878183408893,1875.223007036823,SVK
2,2017.0,6.736543830262423,1759.5916037536554,1710.0321876804928,1862.4251572327044,SVK
3,2018.0,6.665279583875162,1735.4524718665778,1679.0535362417847,1813.5928373291065,SVK
4,2019.0,6.669318734793188,1713.6792451639553,1656.521437996438,1777.247824950981,SVK
5,2020.0,6.569865913902611,1702.9650791866227,1644.894332986683,1764.184004127967,SVK
6,2021.0,2.5,1703.3940499752598,1644.9704480457578,1765.1477272727273,SVK
0,2015.0,6.884015594541911,1861.1380250836633,1802.8949127288208,1857.2133592736704,ISL
1,2016.0,6.886820992385917,1814.5724952059072,1754.3631661442005,1794.3494728915664,ISL
2,2017.0,6.867107195301028,1792.753326765014,1724.1288540835328,1748.5831033120319,ISL
3,2018.0,6.645707070707071,1781.1727756542975,1718.6590388007055,1729.424152159897,ISL
4,2019.0,6.743215647122891,1759.026495147822,1701.6255133755135,1702.5640947050463,ISL
5,2020.0,6.558816951805882,1754.664371623209,1684.2492329055522,1689.1429800724638,ISL
6,2021.0,2.519277108433735,1750.8765290519877,1673.4182658137881,1683.292780748663,ISL
0,2015.0,7.00863309352518,1915.1753616378799,2201.1327450980393,2210.2918671248567,ARM
1,2016.0,6.892857142857143,1833.3466704295577,2168.1252244668913,2130.888151041667,ARM
2,2017.0,6.84009900990099,1773.3519017520514,2109.137745879851,2050.8027323499546,ARM
3,2018.0,6.628181818181818,1746.216834663807,2079.0911775562936,1997.2864174769954,ARM
4,2019.0,6.678752107925801,1723.4672652234194,2065.338286992649,1944.88456284153,ARM
5,2020.0,6.509410801963994,1715.158953168044,2060.5104166666665,1949.1097575757576,ARM
6,2021.0,2.501226492232216,1715.4698347107437,2061.3013513513515,1948.605,ARM
0,2015.0,7.282312925170068,1879.6395401459426,1779.8355494749005,1823.4270028672624,LAT
1,2016.0,7.222577209797657,1835.7718303072204,1689.3217733708736,1796.665523743933,LAT
2,2017.0,7.140328151986183,1804.2184092002276,1614.015969083296,1744.1984699980471,LAT
3,2018.0,6.915104474346352,1752.0735874691757,1545.5855544272827,1688.763258534001,LAT
4,2019.0,6.836080406542091,1717.1349806429084,1507.0759591309695,1637.4633319290701,LAT
5,2020.0,6.63637706855792,1709.2016342284637,1488.283966738291,1609.5188449331215,LAT
6,2021.0,2.500886001181335,1712.4442934782608,1488.230450629556,1610.63,LAT
0,2015.0,6.9699962362690435,1726.641202205123,1619.4246548401095,1649.7649276744028,POL
1,2016.0,6.873830279876126,1691.6194341325545,1570.1231247842295,1606.057544674286,POL
2,2017.0,6.82414816307547,1668.0151563303089,1526.0534232166142,1568.5661847141844,POL
3,2018.0,6.759833626545955,1646.6176971607529,1497.3483334537423,1543.2899388222088,POL
4,2019.0,6.742117127127954,1629.5393183051722,1473.1787751996799,1526.9491803440367,POL
5,2020.0,6.60269734506092,1619.8239419913953,1463.5711906749727,1516.8939871813661,POL
6,2021.0,2.506689627765267,1616.914778758378,1462.0766492370428,1516.22291854298,POL
0,2015.0,6.909230451719423,2016.978076549534,2062.7655346163497,2047.687154229951,USA
1,2016.0,6.898503415026115,1979.8902921648903,2038.4832516600973,2016.6693548182384,USA
2,2017.0,6.81163355840428,1951.0987806219036,2010.4273051604482,1972.1834245499745,USA
3,2018.0,6.785937546073778,1926.4631529175294,1987.6145685038302,1937.008834871269,USA
4,2019.0,6.812581439119733,1898.474621817072,1953.1159601113172,1906.379679201779,USA
5,2020.0,6.52621617832609,1892.002084833988,1945.6877979547335,1892.4231267341888,USA
6,2021.0,2.5029317325143094,1890.5102212960205,1944.0914709517924,1891.9251183231913,USA
0,2015.0,6.890172118406571,1921.3223536117544,1826.0974114700045,1841.9491732216866,ENG
1,2016.0,6.8765184957054375,1893.6596628785942,1777.8058006894455,1812.9926796595616,ENG
2,2017.0,6.860567357329365,1870.9423362857901,1727.1225798231749,1783.5084205371293,ENG
3,2018.0,6.900953591862683,1845.44854652411,1685.014487214929,1749.8429928029461,ENG
4,2019.0,6.867169850071884,1818.1031423380434,1646.3073638218225,1703.0225076640652,ENG
5,2020.0,6.521803766105054,1812.3092940464803,1634.8101326775457,1693.3007869124042,ENG
6,2021.0,2.5,1812.6341743119267,1635.0150591609895,1693.385250569476,ENG
0,2015.0,6.938511326860842,1918.13221633439,1929.835705540251,1898.2174920386126,NZL
1,2016.0,6.781081081081081,1874.4972499475468,1786.5957508041308,1877.1790043290043,NZL
2,2017.0,6.868596881959911,1820.676406926407,1726.9649804496578,1797.2862433862435,NZL
3,2018.0,6.738658777120316,1781.7974619708996,1672.4354115479116,1772.0124684343434,NZL
4,2019.0,6.85304054054054,1736.7134841445818,1608.1112568897406,1713.162966878083,NZL
5,2020.0,6.697836166924266,1729.7294606179673,1580.5605469974205,1679.4074242424242,NZL
6,2021.0,2.545391061452514,1710.2472375690609,1552.700350877193,1639.009911894273,NZL
0,2015.0,6.771929824561403,1846.958176100629,1736.1080808080808,1786.0201149425288,AND
1,2016.0,7.023076923076923,1809.3251567398117,1699.3141025641025,1751.9973684210524,AND
2,2017.0,6.891891891891892,1758.2291092745638,1674.4829545454545,1687.3588095238094,AND
3,2018.0,6.573333333333333,1769.2338308457713,1651.9506802721087,1682.2243589743591,AND
4,2019.0,6.62987012987013,1782.094527363184,1644.7839506172838,1708.1774691358023,AND
5,2020.0,6.5,1786.5416666666665,1649.7283950617284,1717.6369696969696,AND
