,country,rank,rating,games,birth_year,ranking_year
35,UKR,43.90625,2666.65625,23.15625,1981.65625,2005.0
36,USA,63.35,2643.8,16.7,1971.4,2005.0
37,UZB,32.0,2672.0,10.0,1979.0,2005.0
0,ARM,40.76470588235294,2684.0,15.352941176470589,1974.8235294117646,2006.0
1,AZE,31.333333333333332,2691.9166666666665,22.5,1986.0,2006.0
2,BIH,88.0,2626.0,15.5,1960.0,2006.0
3,BLR,70.66666666666667,2638.0,14.666666666666666,1973.0,2006.0
4,BRA,88.66666666666667,2624.6666666666665,20.333333333333332,1978.0,2006.0
5,BUL,46.5,2688.0,20.0625,1974.25,2006.0
6,CHN,74.0,2637.3333333333335,17.666666666666668,1982.6666666666667,2006.0
7,CUB,55.875,2651.875,14.0,1982.5,2006.0
8,CZE,30.25,2690.5,20.5,1985.0,2006.0
9,DEN,74.66666666666667,2636.0,9.0,1970.0,2006.0
10,ENG,19.375,2700.0,13.0,1968.0,2006.0
11,ESP,42.2,2674.8,16.3,1974.6,2006.0
12,EST,95.0,2619.0,39.0,1962.0,2006.0
13,FRA,54.85,2658.2,19.6,1976.0,2006.0
14,GEO,52.54545454545455,2654.2727272727275,18.09090909090909,1975.0,2006.0
15,GER,61.0,2649.285714285714,19.857142857142858,1972.0,2006.0
16,GRE,94.0,2622.0,34.0,1964.0,2006.0
17,HUN,23.083333333333332,2703.1666666666665,11.25,1977.0,2006.0
18,IND,19.166666666666668,2714.5,17.416666666666668,1978.6666666666667,2006.0
19,ISL,96.5,2619.0,0.0,1963.0,2006.0
20,ISR,48.785714285714285,2668.3571428571427,15.285714285714286,1972.142857142857,2006.0
21,KAZ,93.33333333333333,2621.3333333333335,9.333333333333334,1971.6666666666667,2006.0
22,MDA,46.0,2657.75,23.75,1971.0,2006.0
23,NED,46.733333333333334,2660.866666666667,24.866666666666667,1967.9333333333334,2006.0
24,NOR,51.0,2661.0,31.5,1990.0,2006.0
25,PER,75.5,2635.5,12.75,1967.0,2006.0
26,PHI,100.0,2617.5,10.5,1984.0,2006.0
27,POL,77.07142857142857,2634.285714285714,18.642857142857142,1976.5714285714287,2006.0
28,ROM,46.166666666666664,2668.8333333333335,16.166666666666668,1975.6666666666667,2006.0
29,RUS,45.19101123595506,2671.0224719101125,17.06741573033708,1975.123595505618,2006.0
30,SCG,87.0,2625.0,22.0,1961.0,2006.0
31,SLO,84.0,2628.0,13.25,1953.0,2006.0
32,SUI,76.25,2635.0,17.0,1972.0,2006.0
33,SVK,82.0,2631.0,13.75,1978.0,2006.0
34,TUR,77.85714285714286,2633.714285714286,33.0,1961.142857142857,2006.0
35,UKR,45.6,2668.542857142857,22.571428571428573,1982.142857142857,2006.0
36,USA,56.78947368421053,2653.5263157894738,12.947368421052632,1972.8947368421052,2006.0
37,UZB,33.5,2671.75,13.0,1979.0,2006.0
0,ARM,44.27777777777778,2681.6666666666665,13.722222222222221,1974.2222222222222,2007.0
1,AZE,22.75,2717.0,15.0,1986.0,2007.0
2,BIH,78.16666666666667,2638.8333333333335,15.666666666666666,1969.0,2007.0
3,BLR,94.0,2624.0,16.0,1972.0,2007.0
4,BUL,36.583333333333336,2694.3333333333335,14.166666666666666,1975.3333333333333,2007.0
5,CAN,80.0,2633.0,29.0,1954.0,2007.0
6,CHN,63.416666666666664,2651.2916666666665,22.291666666666668,1981.4166666666667,2007.0
7,CUB,31.0,2679.5,11.75,1983.0,2007.0
8,CZE,47.0,2674.0,15.4,1982.0,2007.0
9,DEN,72.5,2639.75,11.0,1970.75,2007.0
10,ENG,22.625,2704.5,12.625,1968.0,2007.0
11,ESP,26.75,2696.125,18.25,1977.0,2007.0
12,FRA,56.25,2658.1,13.0,1978.05,2007.0
13,GEO,77.0,2639.4615384615386,14.538461538461538,1979.3076923076924,2007.0
